,0,1
780,334,159
781,117,101
782,350,128
783,334,28
784,350,266
785,164,111
786,259,142
787,164,115
788,225,285
789,164,362
790,259,317
791,225,195
792,117,253
793,117,125
794,334,308
795,334,339
796,225,88
797,164,137
798,164,77
799,131,107
800,334,10
801,164,9
802,117,188
803,225,220
804,131,228
805,164,129
806,117,29
807,117,323
808,350,101
809,164,100
810,164,193
811,350,91
812,334,228
813,164,125
814,117,152
815,225,213
816,117,81
817,164,287
818,131,165
819,225,60
820,117,77
821,350,6
822,350,341
823,164,95
824,225,43
825,334,323
826,259,244
827,350,208
828,164,91
829,259,343
830,259,339
831,117,313
832,164,140
833,164,247
834,259,55
835,117,288
836,350,343
837,131,297
838,131,244
839,131,22
840,225,10
841,334,38
842,334,198
843,259,159
844,259,157
845,259,113
846,164,113
847,225,104
848,164,215
849,350,126
850,350,142
851,117,195
852,131,61
853,259,247
854,117,115
855,225,90
856,334,112
857,131,167
858,164,149
859,225,212
860,131,195
861,225,214
862,164,22
863,259,151
864,164,176
865,131,145
866,164,285
867,259,308
868,164,183
869,131,27
870,117,53
871,259,34
872,259,78
873,334,220
874,117,176
875,131,313
876,350,330
877,117,213
878,259,246
879,225,72
880,131,149
881,350,111
882,350,247
883,117,291
884,131,81
885,259,329
886,225,83
887,259,347
888,131,137
889,225,132
890,117,110
891,131,59
892,117,83
893,334,22
894,131,268
895,225,67
896,164,154
897,350,228
898,117,352
899,334,110
900,164,83
901,350,140
902,259,264
903,259,336
904,117,237
905,164,133
906,225,296
907,259,258
908,164,58
909,334,111
910,225,56
911,350,287
912,117,132
913,117,129
914,117,148
915,350,195
916,131,355
917,334,336
918,350,193
919,225,340
920,117,277
921,131,162
922,117,160
923,131,98
924,350,313
925,131,48
926,225,127
927,259,115
928,164,56
929,350,157
930,259,127
931,131,187
932,334,176
933,259,98
934,225,181
935,164,148
936,259,296
937,350,244
938,131,151
939,164,88
940,334,72
941,350,125
942,259,76
943,164,340
944,164,256
945,350,44
946,259,31
947,350,296
948,131,349
949,117,169
950,131,127
951,131,332
952,164,104
953,117,212
954,334,288
955,117,150
956,259,51
957,259,248
958,117,56
959,334,100
960,334,160
961,350,89
962,259,285
963,259,181
964,334,148
965,334,253
966,117,298
967,164,75
968,259,288
969,164,214
970,334,187
971,131,34
972,131,19
973,350,71
974,259,3
975,259,160
976,117,146
977,350,129
978,117,19
979,334,146
980,334,45
981,259,261
982,164,72
983,334,214
984,334,340
985,259,72
986,225,271
987,334,0
988,117,172
989,131,70
990,225,239
991,334,150
992,350,332
993,131,271
994,350,248
995,117,119
996,225,15
997,131,258
998,350,239
999,350,59
1000,350,212
1001,259,148
1002,131,72
1003,334,3
1004,259,237
1005,131,96
1006,334,88
1007,350,237
1008,334,58
1009,350,362
1010,350,253
1011,117,278
1012,350,299
1013,334,17
1014,259,119
1015,350,307
1016,131,55
1017,131,3
1018,334,5
1019,131,31
1020,334,295
1021,131,43
1022,131,45
1023,117,254
1024,117,326
1025,117,75
1026,334,254
1027,259,90
1028,259,150
1029,164,66
1030,350,75
1031,131,100
1032,259,88
1033,131,212
1034,350,72
1035,117,66
1036,225,143
1037,131,143
1038,225,31
1039,334,19
1040,164,31
1041,334,120
1042,259,15
1043,334,67
1044,350,0
1045,334,316
1046,131,295
1047,131,88
1048,131,66
1049,131,316
1050,350,352
1051,334,256
1052,350,189
1053,117,73
1054,131,261
1055,350,58
1056,350,271
1057,350,302
1058,164,143
1059,350,326
1060,350,143
1061,334,223
1062,164,189
1063,164,97
1064,350,194
1065,259,19
1066,131,17
1067,334,326
1068,350,316
1069,164,248
1070,350,270
1071,334,144
1072,259,352
1073,259,194
1074,117,143
1075,117,97
1076,350,306
1077,350,97
1078,131,170
1079,334,369
1080,117,369
1081,131,281
1082,131,36
1083,350,210
1084,131,161
1085,334,334
1086,131,251
1087,131,324
1088,350,324
1089,131,20
1090,334,281
1091,131,211
1092,131,7
1093,117,210
1094,131,283
1095,131,221
1096,131,21
1097,334,322
1098,350,7
1099,225,12
1100,259,210
1101,334,210
1102,225,274
1103,131,226
1104,334,324
1105,334,274
1106,117,274
1107,334,36
1108,131,207
1109,117,227
1110,350,320
1111,117,283
1112,164,294
1113,117,337
1114,334,227
1115,117,294
1116,117,20
1117,350,218
1118,117,322
1119,350,226
1120,259,221
1121,131,328
1122,350,21
1123,350,260
1124,334,12
1125,117,218
1126,117,21
1127,225,37
1128,117,221
1129,350,224
1130,164,301
1131,131,350
1132,334,21
1133,131,131
1134,350,344
1135,259,301
1136,131,35
1137,259,25
1138,117,260
1139,225,24
1140,334,131
1141,334,241
1142,117,301
1143,131,116
1144,350,35
1145,350,102
1146,334,225
1147,131,335
1148,334,344
1149,259,158
1150,131,94
1151,259,209
1152,131,180
1153,350,370
1154,350,229
1155,259,224
1156,131,92
1157,350,18
1158,259,231
1159,334,226
1160,164,24
1161,117,359
1162,259,272
1163,350,74
1164,117,102
1165,259,242
1166,259,166
1167,164,37
1168,334,102
1169,334,209
1170,334,320
1171,117,156
1172,164,365
1173,117,18
1174,117,351
1175,350,109
1176,225,356
1177,117,116
1178,259,199
1179,334,109
1180,334,166
1181,131,65
1182,117,209
1183,334,229
1184,259,109
1185,259,24
1186,117,365
1187,117,117
1188,334,359
1189,334,351
1190,259,74
1191,334,338
1192,350,293
1193,225,184
1194,259,293
1195,259,311
1196,164,35
1197,334,368
1198,225,284
1199,259,356
1200,350,263
1201,259,233
1202,131,106
1203,225,69
1204,350,359
1205,334,106
1206,117,16
1207,350,69
1208,334,16
1209,117,276
1210,225,168
1211,259,310
1212,117,231
1213,259,359
1214,259,335
1215,350,168
1216,117,368
1217,225,345
1218,259,328
1219,350,65
1220,131,275
1221,259,345
1222,117,50
1223,225,158
1224,259,118
1225,225,230
1226,259,351
1227,164,163
1228,164,345
1229,131,365
1230,117,363
1231,334,356
1232,117,94
1233,225,14
1234,225,209
1235,225,276
1236,334,311
1237,350,24
1238,350,342
1239,164,276
1240,225,30
1241,225,118
1242,259,365
1243,131,284
1244,225,262
1245,225,165
1246,334,94
1247,131,305
1248,350,265
1249,334,93
1250,117,163
1251,164,371
1252,117,118
1253,117,311
1254,225,269
1255,259,348
1256,225,310
1257,117,92
1258,350,275
1259,225,48
1260,164,265
1261,259,305
1262,164,99
1263,164,1
1264,117,99
1265,117,293
1266,164,354
1267,259,147
1268,225,47
1269,259,259
1270,117,203
1271,334,203
1272,117,371
1273,225,330
1274,225,202
1275,225,55
1276,164,165
1277,225,305
1278,350,255
1279,225,196
1280,259,342
1281,164,243
1282,117,367
1283,117,134
1284,225,347
1285,164,2
1286,259,65
1287,164,134
1288,117,87
1289,117,1
